Country ,Longtitude,Latitude,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013
Austria,14.550072,47.516231,,,,,"2,700","54,529","204,805","268,218","532,416","589,174","31,392","6,678","8,496","81,354","17,571","14,239","15,374","18,234","21,151","3,319","3,654","2,199","1,053"
Hungary,19.503304,47.162494,,,,,483,"5,598","109,982","203,350","685,567","565,553","29,499","7,224","5,181","31,661","10,019","6,148","5,063","9,295","12,778","1,006","1,049","1,009","1,008"
Belgium,4.469936,50.503887,28,20,"3,996","5,765","5,785","6,991","18,738","19,642","37,429","32,574","21,511","4,013","12,473","18,885","9,647","5,413","7,028","7,077","8,157",732,700,698,803
Bulgaria,25.48583,42.733883,,,,,,,,52,"34,651","27,180","2,824","1,062",449,97,598,"1,011","1,124","16,948","40,003","2,465","2,549","2,322","2,720"
Czechoslovakia,#N/A,#N/A,,,,,,,,,,,"101,182","17,757","8,475","1,624","2,758","5,654","5,678","8,970","18,691","1,510","1,374","1,316","1,258"
Denmark,9.501785,56.26392,173,927,671,"3,227","13,553","29,278","85,342","56,671","61,227","45,830","34,406","3,470","4,549","10,918","9,797","4,405","4,847","6,189","6,049",545,473,492,546
Finland,25.748151,61.92411,,,,,3,286,"9,617","36,719",,,"16,922","2,438","2,230","4,923","4,310","2,829","2,569","3,970","3,970",414,398,373,360
France,2.213749,46.227638,"7,694","39,330","75,300","81,778","35,938","71,901","48,193","35,616","67,735","60,335","54,842","13,761","36,954","50,113","46,975","27,018","32,894","36,552","45,637","4,339","3,967","4,201","4,668"
Germany,10.451526,51.165691,"5,753","124,726","385,434","976,072","723,734","751,769","1,445,181","579,072","328,722","174,227","386,634","117,736","119,403","576,905","209,616","77,142","85,752","92,207","122,373","7,929","7,072","6,732","6,880"
Greece,21.824312,39.074208,17,49,17,32,51,209,"1,807","12,732","145,402","198,108","60,774","10,599","8,605","45,153","74,173","102,370","37,729","25,403","16,841",966,"1,196","1,264","1,526"
Ireland,-8.24389,53.41291,"51,617","170,672","656,145","1,029,486","427,419","422,264","674,061","405,710","344,940","166,445","201,644","28,195","15,701","47,189","37,788","11,461","22,210","65,384","15,642","1,610","1,533","1,694","1,765"
Italy,12.56738,41.87194,430,"2,225","1,476","8,643","9,853","46,296","267,660","603,761","1,930,475","1,229,916","528,133","85,053","50,509","189,061","200,111","150,031","55,562","75,992","28,329","2,956","2,670","2,946","3,233"
Netherlands,5.291266,52.132633,"1,105","1,377","7,624","11,122","8,387","14,267","52,715","29,349","42,463","46,065","29,397","7,791","13,877","46,703","37,918","10,373","11,234","13,345","17,351","1,520","1,258","1,294","1,376"
Norway,8.468946,60.472024,,,,,,"88,644","185,111","96,810","182,542","79,488","70,327","6,901","8,326","22,813","17,371","3,927","3,835","5,211","4,599",363,405,314,389
Sweden,18.643501,60.128161,,,,,,"90,179","401,330","237,248","244,439","112,957","100,002","6,551","9,000","21,418","18,779","6,371","10,106","12,614","14,783","1,299","1,125","1,127","1,276"
Poland,19.145136,51.919438,19,366,105,"1,087","1,886","11,016","42,910","107,793",,,"224,420","26,460","7,774","6,498","55,773","33,699","63,483","172,249","117,921","7,391","6,634","6,024","6,073"
Portugal,-8.224454,39.399872,252,896,359,"4,218","4,741","13,990","15,189","25,874","65,154","82,489","44,829","3,518","6,765","13,928","70,568","104,754","42,685","25,497","11,479",759,878,837,917
Romania,24.96676,45.943161,,,,,,,"5,842","6,808","57,322","13,566","67,810","5,264","1,254",914,"2,339","10,774","24,753","48,136","52,154","3,735","3,679","3,477","3,475"
Russia,105.318756,61.52401,86,280,520,423,"1,667","34,977","173,081","413,382","1,501,301","1,106,998","61,604","2,473",605,453,"2,329","28,132","33,311","433,427","167,152","7,502","8,548","10,114","10,154"
Spain,-3.74922,40.463667,"2,866","2,016","1,917","8,803","6,970","5,571","3,999","9,189","24,818","53,262","47,109","3,669","2,774","6,880","40,793","41,718","22,783","18,443","17,695","2,040","2,319","2,316","2,970"
Switzerland,8.227512,46.818188,"3,148","4,430","4,819","24,423","21,124","25,212","81,151","37,020","32,541","22,839","31,772","5,990","9,904","17,577","19,193","8,536","8,316","11,768","12,173",868,861,916,"1,040"
Yugoslavia,#N/A,#N/A,,,,,,,,,,,"49,215","6,920","2,039","6,966","17,990","31,862","16,267","57,039","131,831","4,772","4,611","4,488","4,445"
Other Europe,#N/A,#N/A,3,40,79,14,10,626,"1,070",145,514,"6,527","21,330","9,068","5,387","7,231","6,814","5,242","3,447","29,087","290,871","22,608","20,316","16,865","17,839"
China,104.195397,35.86166,3,8,32,"35,933","54,028","133,139","65,797","15,268","19,884","20,916","30,648","5,874","16,072","8,836","14,060","17,627","170,897","342,058","591,711","67,634","83,603","78,184","68,410"
HongKong,#N/A,#N/A,,,,,,,,,,,,,,"13,781","67,047","117,350","112,132","116,894","57,583","3,263","3,149","2,642","2,614"
India,78.96288,20.593684,9,38,33,42,50,166,247,102,"3,026","3,478","2,076",554,"1,692","1,922","18,638","148,018","231,649","352,528","590,464","66,185","66,331","63,320","65,506"
Iran,53.688046,32.427908,,,7,,4,17,18,26,,,208,198,"1,144","3,195","9,059","33,763","98,141","76,899","76,755","9,078","9,015","8,955","9,658"
Israel,34.851612,31.046051,,,,,,,,,,,,,98,"21,376","30,911","36,306","43,669","41,340","54,081","5,172","4,389","4,640","4,555"
Japan,138.252924,36.204824,,,,,138,193,"1,583","13,998","139,712","77,125","42,057","2,683","1,557","41,968","40,956","52,812","44,150","66,582","84,552","7,100","6,751","6,581","6,383"
Jordan,36.238414,30.585164,,,,,,,,,,,,,3,"4,919","9,230","25,541","28,928","42,755","53,550","9,327","8,211","7,014","5,949"
Korea,#N/A,#N/A,,,,,,,,,,,,,83,"4,845","27,048","241,192","322,708","179,770","209,758","22,022","22,748","20,802","22,937"
Philippines,121.774017,12.879721,,,,,,4,1,19,605,,,457,"4,099","17,245","70,660","337,726","502,056","534,338","545,463","56,399","55,251","55,441","52,955"
Syria,38.996815,34.802075,,,,,2,7,140,,,,"5,307","2,188","1,179","1,091","2,432","8,086","14,534","22,906","30,807","7,424","7,983","6,674","3,999"
Taiwan,120.960515,23.69781,,,,,,,,,,,,,,721,"15,657","83,155","119,051","132,647","92,657","6,785","6,206","5,295","5,336"
Turkey,35.243322,38.963745,19,8,45,94,129,382,"2,478","27,510","127,999","160,717","40,374","1,314",754,"2,980","9,464","12,209","19,208","38,687","48,394","7,435","9,040","7,362","7,189"
Vietnam,108.277199,14.058324,,,,,,,,,,,,,,290,"2,949","121,716","200,632","275,379","289,616","30,065","33,486","27,578","26,578"
Other Asia,#N/A,#N/A,3,1,4,11,57,163,888,"4,381","9,215","7,500","6,070","6,024","7,851","12,675","40,452","171,025","483,601","637,116","745,444","112,320","122,417","122,000","107,232"
Canada,-106.346771,56.130366,"2,297","11,875","34,285","64,171","117,975","323,974","492,508","2,668","123,067","708,715","949,286","162,703","160,911","353,169","433,128","179,267","156,313","194,788","236,349","19,491","19,506","20,138","20,489"
Mexico,-102.552784,23.634501,"3,835","7,187","3,069","3,446","1,957","5,133","2,405",734,"31,188","185,334","498,945","32,709","56,158","273,847","441,824","621,218","1,009,586","2,757,418","1,704,166","138,717","142,823","145,326","134,198"
Caribbean,#N/A,#N/A,"3,061","11,792","11,803","12,447","8,809","14,592","27,600","31,885","100,960","120,860","83,482","18,052","46,285","115,869","427,843","708,643","789,343","1,004,114","1,053,357","139,389","133,012","126,615","121,349"
Cuba,-77.781167,21.521757,,,,,"3,420","8,705","20,134","23,669",,,"12,769","10,641","25,976","73,221","202,030","256,497","132,552","159,037","271,742","33,372","36,261","32,551","31,343"
Dominican Republic,-70.162651,18.735693,,,,,,,,,,,,"1,165","4,802","10,219","83,552","139,249","221,552","359,818","291,492","53,890","46,036","41,535","41,487"
Haiti,-72.285215,18.971187,,,,,78,149,124,101,,,,207,823,"3,787","28,992","55,166","121,406","177,446","203,827","22,336","21,802","22,446","20,083"
Jamaica,-77.297508,18.109581,,,,,61,257,355,223,,,,,,"7,397","62,218","130,226","193,874","177,143","172,523","19,439","19,298","20,300","19,052"
Other Caribbean,#N/A,#N/A,"3,061","11,792","11,803","12,447","5,250","5,481","6,987","7,892","100,960","120,860","70,713","6,039","14,684","21,245","51,051","127,505","119,959","130,670","113,773","10,352","9,615","9,783","9,384"
Belize,-88.49765,17.189877,,,,,9,26,80,25,583,40,285,193,433,"1,133","4,185","6,747","14,964","12,600","9,682",997,933,875,969
CostaRica,#N/A,#N/A,,,,,2,4,1,4,,,,580,"1,965","4,044","17,975","12,405","25,017","17,054","21,571","2,306","2,230","2,152","2,232"
El Salvador,-88.89653,13.794185,,,,,,3,,7,,,,712,"4,885","5,094","14,405","29,428","137,418","273,017","251,237","18,547","18,477","15,874","18,015"
Guatemala,-90.230759,15.783471,,,,,1,10,3,9,,,,632,"1,303","4,197","14,357","23,837","58,847","126,043","156,992","10,263","10,795","9,857","9,829"
Honduras,-86.241905,15.199999,,,,,,11,4,4,,,,809,"1,874","5,320","15,087","15,653","39,071","72,880","63,513","6,381","6,053","6,773","8,795"
Nicaragua,-85.207229,12.865416,,,,,,1,1,3,,,,564,"4,393","7,812","10,383","10,911","31,102","80,446","70,015","3,476","3,314","2,943","2,940"
Panama,-80.782127,8.537981,,,,,,,,,,,,"1,774","5,282","12,601","22,177","21,395","32,957","28,149","18,120","1,627","1,447","1,363","1,276"
Other Central America,#N/A,#N/A,57,94,297,512,58,147,270,622,"6,758","15,652","16,226","1,576",,,,,,,,,-, - ,
Argentina,-63.616672,-38.416097,,,,,7,58,64,36,,,,"1,397","3,108","16,346","49,384","30,303","23,442","30,065","47,955","4,312","4,335","4,218","4,227"
Bolivia,-63.588653,-16.290154,,,,,,5,,,,,,77,893,"2,759","6,205","5,635","9,798","18,111","21,921","2,211","2,113","1,920","2,005"
Brazil,-51.92528,-14.235004,,,,,32,219,199,92,,,"4,627","1,468","3,653","11,547","29,238","18,600","22,944","50,744","115,404","12,057","11,643","11,248","10,772"
Chile,-71.542969,-35.675147,,,,,25,92,44,66,,,,568,"1,320","4,669","12,384","15,032","19,749","18,200","19,792","1,940","1,854","1,628","1,751"
Colombia,-74.297333,4.570868,,,,,2,196,"1,210",607,,,,"1,278","3,454","15,567","68,371","71,265","105,494","137,985","236,570","21,861","22,130","20,272","20,611"
Ecuador,-78.183406,-1.831239,,,,,,7,14,33,,,,320,"2,207","8,574","34,107","47,464","48,015","81,358","107,977","11,463","11,068","9,284","10,553"
Guyana,-58.93018,4.860416,,,,,41,95,68,27,,,,193,596,"1,131","4,546","38,278","85,886","74,407","70,373","6,441","6,288","5,282","5,564"
Paraguay,-58.443832,-23.442503,,,,,,2,,,,,,36,85,576,"1,249","1,486","3,518","6,082","4,623",449,501,454,437
Peru,-75.015152,-9.189967,,,,,35,127,25,79,,,,460,"1,273","5,980","19,783","25,311","49,958","110,117","137,614","14,063","13,836","12,414","12,370"
Suriname,-56.027783,3.919305,,,,,,,,,,,,33,130,299,612,714,"1,357","2,285","2,363",202,167,216,170
Uruguay,-55.765835,-32.522779,,,,,,22,4,144,,,,153,754,"1,026","4,089","8,416","7,235","6,062","9,827","1,286","1,521","1,348","1,314"
Venezuela,-66.58973,6.42375,,,,,36,190,248,,,,,"1,360","2,182","9,927","20,758","11,007","22,405","35,180","82,087","9,497","9,229","9,464","9,512"
Other South America,#N/A,#N/A,405,957,"1,062","3,569","1,358",96,78,305,"15,253","39,938","38,398","2,647",7,17,28,18,2, -   ,2,1,2, - ,1
Other America,#N/A,#N/A,1,6,11,56,80,879,"5,019","1,406",73,,29,25,"25,284","60,140","22,076",603,83,37,19,4,-, - ,1
Africa,#N/A,#N/A,19,66,67,104,458,441,768,432,"6,326","8,867","6,362","2,120","6,720","13,016","23,780","71,405","141,987","346,410","759,734","98,246","97,429","103,685","94,589"
Egypt,30.802498,26.820553,,,,5,8,29,145,51,,,"1,063",781,"1,613","1,996","5,581","23,543","26,744","44,604","81,564","9,822","9,096","10,172","10,719"
Ethiopia,40.489673,9.145,,,,,,,,,,,,10,28,302,804,"2,588","12,927","40,097","87,207","13,853","13,985","15,400","13,484"
Liberia,-9.429499,6.428055,1,8,5,7,43,52,21,9,,,,35,37,289,841,"2,391","6,420","13,587","23,316","2,924","3,117","3,451","3,036"
Morocco,-7.09262,31.791702,,4,1,,,15,12,9,,,,110,"1,463","3,293","2,880","1,967","3,471","15,768","40,844","4,847","4,249","3,534","3,202"
South Africa,22.937506,-30.559482,,,,,79,48,23,9,,,,312,"1,022","2,278","4,360","10,002","15,505","21,964","32,221","2,705","2,754","2,960","2,693"
Other Africa,#N/A,#N/A,18,54,61,92,328,297,567,354,"6,326","8,867","5,299",872,"2,557","4,858","9,314","30,914","76,920","210,390","494,582","64,095","64,228","68,168","61,455"
Australia,133.775136,-25.274398,2,1,2,104,96,"8,933","7,250","3,098","11,191","11,280","8,404","2,260","11,201","8,275","14,986","18,708","16,901","24,288","32,728","3,077","3,062","3,146","3,529"
NewZealand,#N/A,#N/A,,,,2,6,39,21,12,,,935,790,"2,351","1,799","3,775","5,018","6,129","8,600","12,495","1,046","1,006",980,"1,027"
Other Oceania,#N/A,#N/A,,,1,4,5,122,70,169,486,"1,059",521,190,710,"1,245","4,898","16,257","18,402","23,912","20,570","1,823","1,757","1,447","1,505"
NotSpecified,#N/A,#N/A,"19,173","83,495","7,196","71,442","15,472",592,778,"14,112","33,493",488,930,,135,"12,472",119,326,"305,406","25,928","211,930","5,814","6,217","9,265","10,127"
